Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;;;;;;
09.01.14;9.61;1.91;8.61;4.94;9.4;1.83;7.18;2.84;;;;;;
17.01.14;8.05;1.06;6.11;1.07;8.9;1.2;7.67;1.71;;;;;;
03.02.14;8.16;1.6;9.6;2.55;10.64;1.54;7.48;2.91;;;;;;
13.02.14;6.74;1.5;6.61;3.29;9.64;1.44;6.09;2.89;;;;;;
26.02.14;6.8;1.2;8.13;3.33;9.71;1.55;7.85;2.84;;;;;;
06.03.14;7.55;1.45;7.5;3.62;9.09;1.04;6.25;3.14;;;;;;
13.03.14;7.38;2.23;4.59;2.19;8.11;0.85;5.26;2.4;;;;;;
21.03.14;8.87;2.95;5.02;2.62;9.09;1.51;6.13;2.74;;;;;;
28.03.14;9.94;2.56;9.5;2.67;9.68;1.57;8.51;2.38;;;;;;
03.04.14;9.86;1.79;8.69;1.28;9.93;1.67;8.97;1.66;;;;;;
10.04.14;11.09;2.62;8.69;1.06;9.51;1.14;8.88;1.18;;;;;;
17.04.14;10.41;1.84;10.32;1.62;10.19;1;9.62;1.71;;;;;;
25.04.14;9.18;2.13;9.1;1.98;9.47;1.34;10.35;2.55;;;;;;
08.05.14;9.28;1.83;10.19;2.61;9.87;2.07;9.8;1.63;;;;;;
14.05.14;8.8;1.81;8.77;2.48;9.53;0.68;9.08;2.68;;;;;;
22.05.14;9.91;3.65;9.33;2.7;9.83;2.42;9.3;2.02;;;;;;
05.06.14;9.33;2.33;8.76;3.3;9.17;1.47;8.27;1.61;;;;;;
19.06.14;9.44;2.42;8.31;1.01;9.78;1.51;9.31;3.01;;;;;;
26.06.14;9.53;1.99;8.76;1.32;9.3;1.48;8.94;2.41;;;;;;
03.07.14;9.68;3.46;8.78;2.44;9.1;1.94;8.16;4.66;;;;;;
11.07.14;9.36;3.3;8.57;2.33;9.32;1.75;8.98;4.08;;;;;;
18.07.14;8.71;3.05;8.94;2.87;9.28;2.42;8.83;3.24;;;;;;
01.08.14;7.97;1.87;7.49;2.28;8.02;0.93;7.36;2.98;;;;;;
08.08.14;7.85;1.39;6.13;1.77;8.25;1.23;7.65;2.05;;;;;;
15.08.14;8.19;1.04;6.68;1.18;8.4;1.17;7.06;0.71;;;;;;
29.08.14;9.2;0.88;8.42;1.39;8.75;0.85;7.58;0.38;;;;;;
05.09.14;9.11;1.66;7.62;1.46;8.75;1.33;8.92;1.87;;;;;;
08.10.14;9.67;1.34;9.54;1.97;9.97;1.09;6.54;0.63;;;;;;
31.10.14;10.65;2;9.23;0.1;9.94;1.56;5.91;1.32;;;;;;
13.11.14;10.7;0.77;10.4;0.56;9.93;1.36;7.33;1.02;;;;;;
26.11.14;9.77;0.71;7.78;0.15;9.28;1.07;7.43;0.47;;;;;;
04.12.14;8.66;1.64;7.21;1.61;9.57;1.43;5.87;1.28;;;;;;
17.12.14;7.67;1.4;9.4;0.75;9.2;0.73;6.24;1.42;;;;;;
25.12.14;8.71;0.19;7.59;0.89;9.77;0.7;5.36;0.54;;;;;;
;;;;;;;;;;;;;;
Концентрация кислорода (мг/л) в водоемах-объектах мониторинга в 2015г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;;;;;;
13.01.15;7.04;0.64;5.97;1.89;9.71;2.57;6.73;2.53;;;;;;
22.01.15;7.38;1.51;5.62;0.62;9.7;1.49;7.78;1.47;;;;;;
04.02.15;7.35;0.87;4.39;1.74;9.4;1.76;7.06;1.61;;;;;;
13.02.15;5.86;1.05;5.52;1.92;9.91;1.93;6.93;2.6;;;;;;
19.02.15;7.55;1.81;4.17;1.55;9.62;1.54;7.17;2.84;;;;;;
26.02.15;7.02;1.28;3.7;1.36;9.02;1.08;5.92;1.66;;;;;;
05.03.15;6;1.43;;;9.63;1.83;4.8;2.38;;;;;;
11.03.15;9.4;1.53;4.86;2.63;9.92;1.8;5.41;2.9;;;;;;
26.03.15;8;1.54;4.82;2.17;9.15;0.61;7.53;2.87;;;;;;
02.04.15;8.8;2.55;6.12;2.82;9.01;0.86;6.1;2.8;;;;;;
09.04.15;9.5;2.01;8.36;4.7;9.72;2.12;8.15;4.2;;;;;;
16.04.15;10.8;1.99;9.62;2.22;8.88;1.31;6.1;1.38;;;;;;
23.04.15;9.62;2.02;8.77;1.14;9.31;1.09;9.22;2.18;;;;;;
30.04.15;9.67;2.27;8.88;2.58;9.4;1.38;9.58;2.03;;;;;;
08.05.15;8.54;1.75;9.05;2.36;9.41;0.73;8.83;1.66;;;;;;
14.05.15;8.33;1.27;8.83;2.43;9.35;1.68;7.64;2.82;;;;;;
21.05.15;9.05;1.52;9.09;2.35;9.62;2.61;9.37;2.57;;;;;;
28.05.15;8;1.4;8.04;1.82;8.77;2.32;8.88;2.42;;;;;;
04.06.15;8.05;1.86;7.64;2.21;8.44;0.98;6.7;1.36;;;;;;
11.06.15;8.25;2.29;7.4;3.06;8.33;0.77;7.43;3.57;;;;;;
18.06.15;7.45;2.58;7.21;2.82;8.24;1.43;7.26;2.86;;;;;;
25.06.15;7.23;1.45;6.2;2.56;7;0.64;5.81;2.4;;;;;;
02.07.15;8.61;1.64;7.08;2.33;8.62;1.28;7.67;2.75;;;;;;
14.07.15;8.26;2.35;7.62;1.71;8.55;1.56;7.38;2.15;;;;;;
22.07.15;8.46;1.63;8.06;1.76;8.74;1.8;8.32;1.57;;;;;;
30.07.15;8.2;2.54;8.05;2.04;8.17;2.08;7.92;2.31;;;;;;
06.08.15;8.58;1.26;8.61;1.47;8.95;0.9;8.92;2.32;;;;;;
14.08.15;8.66;1.13;8.09;1.19;8.15;0.31;7.98;0.97;;;;;;
21.08.15;9.1;1.34;8.78;1.22;8.47;1;8.96;1.89;;;;;;
02.09.15;8.2;1.75;7.67;2.71;8.26;1.4;6.38;1.2;;;;;;
11.09.15;9.09;0.51;8.68;0.77;8.68;0.44;7.37;0.77;;;;;;
01.10.15;9.09;2.6;8.42;2.79;8.29;1.39;7.35;2.5;;;;;;
09.10.15;10.02;1.53;8.95;2.33;8.92;0.46;5.92;1.22;;;;;;
20.10.15;9.93;1.72;7.94;0.94;8.98;1.16;5.67;2.66;;;;;;
29.10.15;10.27;1.35;9.25;1.74;9.3;1.24;5.36;1.16;;;;;;
05.11.15;9.82;1.8;9.61;2.09;9.27;1.15;6.47;1.92;;;;;;
12.11.15;9.78;1.28;9.67;1.9;9.4;1.28;8.16;1.26;;;;;;
17.11.15;10.45;2.62;8.59;1.82;9.2;1.15;7.56;2.53;;;;;;
26.11.15;10.03;1.94;9.07;1.11;9.18;0.8;7.63;1.88;;;;;;
02.12.15;9.85;2.77;8.39;1.46;9.12;1.58;5.42;1.98;;;;;;
15.12.15;9.31;0.67;8.26;0.38;9.5;1.15;3.87;0.93;;;;;;
23.12.15;8.85;1.89;7.65;1.51;9.68;1.26;4.83;0.7;;;;;;
;;;;;;;;;;;;;;
Концентраця кислорода (мг/л) в водоемах- объектах мониторинга в 2016г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;оз.Круглое;БПК-5;;;;
13.01.16;5.86;0.49;5.24;1.34;8.64;1.12;4.91;2.33;;;;;;
22.01.16;7.87;0.91;7.71;1.83;9.33;1.68;6.62;1.7;;;;;;
03.02.16;6.56;0.82;5.86;1.64;7.26;1.15;5.03;1.28;;;;;;
16.02.16;5.94;0.72;4.8;0.92;7.63;1.13;7.23;1.55;;;;;;
26.02.16;7.33;0.77;7.13;0.8;9.11;0.76;7.38;2.96;;;;;;
04.03.16;5.77;1.9;5.64;2.01;7.96;0.68;5.35;2.78;;;;;;
11.03.16;5.55;0.67;6.38;2.02;7.83;0.75;6.55;3.27;;;;;;
18.03.16;5.91;1.39;4.05;1.27;8.14;1.24;5.75;2.44;;;;;;
24.03.16;6.11;1.09;5.62;2.33;7.88;1.16;4.09;1.46;;;;;;
30.03.16;5.49;1.19;4.8;2.25;7.44;1.25;;;;;;;;
07.04.16;7.57;2.59;6.94;2.16;7.44;1.59;5.23;2.48;;;;;;
14.04.16;7.25;1.31;7.7;1.69;7.17;0.57;7.58;1.48;;;;;;
20.04.16;7.8;1.1;7.16;0.32;8.51;1.21;8.2;1.68;;;;;;
27.04.16;7.76;0.81;7.26;0.52;8.31;0.53;8.28;1.32;;;;;;
05.05.16;8.03;1.09;7.52;0.55;8.74;0.9;7.47;1.2;;;;;;
12.05.16;7.7;1.2;7.66;0.91;8.38;0.37;5.84;1.48;;;;;;
19.05.16;8.57;1.62;8.36;1.49;8.34;0.79;7.27;2.04;;;;;;
25.05.16;8.3;2.34;7.62;1.74;8.91;1.85;7.93;4.53;;;;;;
02.06.16;8.33;1.96;7.14;1.69;7.96;1.64;7.81;4.32;;;;;;
10.06.16;7.71;0.81;7.89;1.19;8.42;1.52;7.54;3.33;;;;;;
17.06.16;8.42;2.16;6.91;1.91;8.57;1.2;6.87;3.41;;;;;;
24.06.16;7.46;1.86;6.5;2.19;8.26;1.57;4.67;1.97;;;;;;
30.06.16;7.28;0.52;6.83;2.21;9.03;1.17;5.7;2.33;;;;;;
08.07.16;7.78;2.13;7.47;2;8.99;0.79;6.59;1.76;;;;;;
03.08.16;7.08;1.26;5.93;1.05;7.34;0.56;6.66;2.98;;;;;;
10.08.16;6.94;0.72;5.77;1.04;7.55;0.58;6.32;1.96;;;;;;
17.08.16;7.14;0.74;6.38;1.16;7.73;0.98;6.34;2.51;;;;;;
24.08.16;7.29;0.67;6.29;1.26;7.3;0.38;6.54;2.62;;;;;;
01.09.16;8.8;1.05;6.64;1;7.84;0.42;7.23;2.36;;;;;;
04.10.16;9;1.33;7.3;1.58;9.09;1.85;5.41;2.38;8.54;5.51;;;;
13.10.16;9.88;1.96;8.67;2.97;9.81;0.78;6.35;3.28;7.48;2.88;;;;
19.10.16;10.47;2.06;8.51;1.66;8.05;0.11;4.2;1.69;3.15;0.25;;;;
26.10.16;10.07;2.81;9.59;2.19;8.02;0.62;5.28;2.45;3.92;1;;;;
02.11.16;9.87;1.64;8.65;2.47;7.82;0.37;5.93;1.98;3.87;1.41;;;;
09.11.16;9.06;2.06;8.65;1.57;8.3;0.6;4.89;1.89;4.52;1.47;;;;
16.11.16;9.65;1.95;7.68;1.6;9.2;1.02;5.38;1.65;5.64;1.5;;;;
23.11.16;9.2;1.6;8.26;2.35;9.17;0.64;7.61;2.11;4.93;2.02;;;;
02.12.16;8.48;1.97;7.1;1.58;9.77;0.64;5.06;2.08;4.65;1.85;;;;
13.12.16;6.6;1;5.76;1.21;9.37;1.44;6.61;2.51;3.95;1.25;;;;
;;;;;;;;;;;;;;
Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;2017г.;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;оз.Круглое;БПК-5;;;;
11.01.17;6.68;0.75;5.48;0.24;10.15;1.58;4.55;1.5;4.35;1.09;;;;
24.01.17;7.25;0.76;6.83;0.63;9.68;отр;5.34;1.24;5.21;1.07;;;;
08.02.17;6.26;3.36;6.91;2.48;9.95;1.79;5.62;1.24;5.98;1.84;;;;
21.02.17;6.23;1.98;6.18;2;9.76;1.54;5.03;0.84;5.15;1.63;;;;
01.03.17;6.38;2.02;6.49;1.83;9.69;1.63;5.88;0.92;5.09;1.76;;;;
09.03.17;7.26;1.39;8.46;3.37;10.5;2.14;5.77;2.09;8.97;3.05;;;;
15.03.17;9.35;2.61;9.32;3.49;9.82;1.8;6.86;2.8;9.76;3.28;;;;
22.03.17;8.1;1.76;8.16;1.9;9.47;1.11;4.6;1.76;7.7;2.5;;;;
30.03.17;9.98;2.62;8.36;1.48;10.64;0.7;6.66;2.46;9.53;1.2;;;;
06.04.17;9.66;2.75;8.66;2.98;9.43;0.6;7.09;2.23;10.62;2.06;;;;
13.04.17;9.7;1.97;9.73;2.28;8.9;1.1;7.75;2.92;6.71;2.06;;;;
21.04.17;10.07;2.02;9.94;1.96;9.94;1.38;9.87;2.32;9.45;1.95;;;;
27.04.17;8.55;2.29;8.15;2.11;8.9;1.55;8.89;2.39;6.37;2.11;;;;
05.05.17;8.38;2.08;8.2;2.02;8.67;0.87;7.88;1.75;7.71;2.37;;;;
12.05.17;8.76;2.59;9.2;1.63;9.75;1.96;8.45;2.14;8.38;3.36;;;;
17.05.17;8.58;2.16;8.15;2.37;8.36;0.66;7;3.07;7.79;3.36;;;;
26.05.17;7.57;1.95;7.75;2.53;8;0.6;10.29;4.89;7.26;2.01;;;;
01.06.17;8.73;2.28;8.48;2.6;9.38;1.44;9.37;4.35;7.9;2.98;;;;
07.06.17;9.7;2.44;8.76;2.29;9.26;1.46;11.55;6.32;7.91;2.88;;;;
16.06.17;7.85;2.75;7.9;2.53;8.36;1.7;8.17;5.66;8.74;3.88;;;;
23.06.17;7.76;2.88;7.4;2.51;8.37;1.89;7.13;3.29;6.96;4.25;;;;
30.06.17;7.43;2.88;7.45;2.84;7.39;0.66;7.5;3.62;6.51;2.67;;;;
07.07.17;8.16;3.07;6.9;3.2;7.98;1.88;6.42;2.22;6.64;6.54;;;;
14.07.17;7.88;3.41;6.6;2.55;7.81;2.35;6.33;2.6;7.75;3.11;;;;
21.07.17;8.21;3.77;7.62;3.58;8.55;0.51;7.1;2;7.65;2.88;;;;
02.08.17;6.53;0.76;5.67;2.04;7.2;0.32;5.82;3.28;5.98;3.56;;;;
11.08.17;8.06;1.79;6.88;1.36;7.42;0.52;6.5;2.92;7.22;2.24;;;;
18.08.17;8.11;1.54;7.1;2.3;8.17;0.8;7.4;2.59;6.58;3.5;;;;
25.08.17;8.41;1.3;6.96;2.12;8.4;1.16;6.53;2.59;7.16;2.92;;;;
01.09.17;8.5;1.34;6.35;1.84;7.62;0.72;6.77;2.79;6.5;3.01;;;;
04.10.17;8.72;1.33;7.46;1.08;7.89;отр;4.13;1.42;5.48;2.12;;;;
17.10.17;8.8;2.57;8.34;2.08;8.52;1;5.06;1.77;6.95;3.68;;;;
24.10.17;9.73;1.89;9.22;1.22;8.18;0.81;5.06;1.44;5.28;2.42;;;;
01.11.17;8.29;1.88;7.87;1.35;8.22;1.41;3.65;1.27;5.42;2.91;;;;
08.11.17;10.18;1.93;9.54;2.7;7.82;0.9;5.4;1.18;5.22;3.11;;;;
15.11.17;9.99;2.35;9.3;2.17;8.73;1.25;7.86;2.74;5.85;2.9;;;;
22.11.17;9.52;1.74;9.96;2.24;8.28;1.18;6.31;2.5;7.41;4.75;;;;
30.11.17;9.79;2.14;8.28;1.4;8.83;1.53;4.6;2.03;4.75;2.05;;;;
07.12.17;9.06;1.98;7.93;1.25;8.24;0.84;4.52;2.12;3.41;1.36;;;;
14.12.17;7.57;1.2;7.89;1.01;8.45;1.2;6.1;3.81;3.96;1.92;;;;
22.12.17;8.77;1.92;6.1;0.86;8.64;1.21;4.33;2.02;4.48;2.18;;;;
;;;;;;;;;;;;;;
Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;2018 г.;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;оз.Круглое;БПК-5;;;;
09.01.18;8.56;1.26;6.47;0.72;8.59;0.93;4.41;2.31;4.26;2.11;;;;
18.01.18;7.65;1.26;6.57;1.47;8.97;1;4.51;1.66;3.92;1.52;;;;
25.01.18;6.2;1;5.29;0.32;8.92;1.39;4.68;1.95;2.73;0.26;;;;
01.02.18;5.28;0.87;6.77;1.36;9.46;1.41;6.24;2.59;4.14;1.14;;;;
08.02.18;5.9;0.87;7.2;1.49;9.99;1.32;5.11;2.13;4.74;1.77;;;;
19.02.18;6.39;1.7;5.45;1.7;9.45;1.09;7.52;4.3;4.86;1.86;;;;
06.03.18;6.56;2.54;4.88;1.53;9.25;1.49;5.22;3.1;2.98;1.48;;;;
22.03.18;5.67;1.27;5.14;1.46;9.1;отр;6.26;3.38;4.43;1.18;;;;
28.03.18;6.68;1.23;7.55;2.44;9.96;2.36;4.76;1.7;5.07;2.55;;;;
04.04.18;7.68;1.83;6.09;1.19;9.22;1.72;7.73;4.23;8.58;5.54;;;;
18.04.18;9.48;2.13;8.98;1.7;8.14;1.61;8.64;2.46;5.96;2.52;;;;
28.04.18;8.1;1.15;7.9;1.35;8.21;1.4;8.33;2.49;7.95;3.22;;;;
10.05.18;8;2.2;7.36;1.53;8.68;1.6;7.05;2.82;7.26;2.11;;;;
16.05.18;8.15;1.13;7.79;2.59;9.42;1.68;7.53;2.2;8.54;3.64;;;;
23.05.18;7.24;0.81;7.02;1.02;10.46;0.85;7.84;1.63;7.6;3.25;;;;
30.05.18;8.18;отр;9.5;0.9;10.55;0.75;9.6;3.29;7.47;2.09;;;;
15.06.18;9.96;1.56;8.3;1;9;1.82;8.33;3.41;7.9;3.39;;;;
22.06.18;7.38;2.35;6.18;1.15;7.09;0.63;5.55;1.69;6.62;2.88;;;;
27.06.18;7.29;2.05;5.46;1.71;7.14;0.36;5.56;1.83;6.78;3.18;;;;
04.07.18;7.42;1.13;6.82;1.01;7.97;0.7;6.97;2.91;8.05;2.87;;;;
11.07.18;7.48;1.22;6.9;2;7.67;0.84;6.78;2.01;7.57;3.18;;;;
18.07.18;7.22;1.25;5.42;2.42;7.62;3.3;6.75;3.32;7.06;4.45;;;;
24.07.18;8.36;1.96;6.42;1.3;7.97;1.86;7.82;1.86;7.91;3.41;;;;
09.08.18;8.6;2;7.42;1.39;7.93;0.67;7.14;1.82;6.89;2.23;;;;
17.08.18;8.17;1.24;7.35;1.17;8.69;2.25;6.45;1.65;7.75;1.27;;;;
23.08.18;8.38;1.23;6.85;2;7.9;0.77;6.41;2.13;7.8;2.49;;;;
30.08.18;7.72;1.3;6.19;2.04;7.67;0.67;5.98;0.67;7.29;3.59;;;;
18.09.18;8.58;1.03;6.58;1.18;8.39;0.69;5.66;1.92;7.6;3.76;;;;
10.10.18;8.81;1.35;6.28;1.54;8.15;0.25;4.26;0.91;6.47;2.94;;;;
18.10.18;9.27;1.28;6.55;2.75;8.29;0.99;4.98;1.81;7.66;2.44;;;;
25.10.18;9.31;1.41;6.63;2.2;8.19;0.72;5.28;1.48;6.35;2.07;;;;
01.11.18;10.32;1.36;7.8;1.84;10.94;1.04;7.44;2.08;6.4;2.78;;;;
07.11.18;10.94;1.4;9.98;2.81;10.62;0.88;6.51;3.1;8.4;2.1;;;;
15.11.18;12.42;2.87;8.86;2.13;11.05;1.14;9.15;2.19;8.7;4.64;;;;
29.11.18;10.5;2.06;8.96;1.4;9.86;1.29;8.44;3.01;10;5.01;;;;
05.12.18;9.06;1.89;7.82;1.11;8.35;отр;7.92;2.89;6.77;3.33;;;;
13.12.18;6.73;1.1;7.17;1.69;8.5;0.8;4.99;1.5;5.04;1.36;;;;
19.12.18;6.56;1.36;7.9;1.55;9.96;1.02;8;2.3;5.76;2.84;;;;
;;;;;;;;;;;;;;
