Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;;;;;;;;
Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;2019;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;оз.Круглое;БПК-5;оз.Моховское;БПК-5;оз.Калачик;БПК-5
10.01.19;7.41;1.01;7.34;1.79;9.94;1.44;4.94;2.26;4.87;2.26;;;;
23.01.19;8.92;0.8;6.43;1;9.72;1.22;9;2;6.13;2.52;;;;
05.02.19;7.78;0.65;8.47;1.47;9.76;1.49;7.65;2.51;6.72;2.71;;;;
13.02.19;7.57;1.62;7.46;2.61;9.76;1.36;7.76;2.63;4.25;1.72;;;;
26.02.19;7.5;0.9;6.55;2.3;;;7.89;2.39;4.83;1.43;;;;
13.03.19;7.45;отр.;8.63;0.85;9.49;отр.;4.87;2.01;4.62;1.32;3.3;0.66;;
21.03.19;8.25;0.48;9.5;1.53;9.56;0.63;5.55;2.06;7.65;3.89;7.72;1.68;;
04.04.19;9.4;1.9;8.45;1.85;9.39;1.09;6.7;2.66;9.18;3.88;7.86;1.82;;
10.04.19;10.7;2.17;10.6;2.83;9.92;1.52;8.23;2.19;8.54;3.23;8.35;2.18;;
17.04.19;10.51;2.81;9.87;2.66;9.01;1.38;8.13;1.63;8.11;2.1;8.26;2.52;7.46;2.47
23.04.19;9.45;1.8;8.61;1.64;9.2;1.22;9.9;2.4;7.64;3.12;7.35;4.49;8.75;2.26
08.05.19;9.14;2.96;7.33;1.46;8.56;1.44;11.48;8.31;8.67;3.77;9.05;3.54;9.04;2.9
15.05.19;7.96;2.23;7.09;3.26;8.16;1.43;8.01;4.39;7.52;2.63;7.82;3.04;8.09;2.38
23.05.19;9.02;1.32;8.43;2.11;8.55;0.65;8.34;2.94;8.5;1.57;8.22;2.08;8.78;1.19
06.06.19;7.97;2.71;6.43;2.94;7.46;0.81;5.25;3.23;6.42;2.12;5.9;2.88;7.33;2.21
13.06.19;7.5;2.11;5.79;3.45;7.65;0.35;6.22;3.39;6.32;2.61;4.99;2.09;6.05;2.68
19.06.19;7.72;2.12;6;2.47;7.89;0.52;6.05;2.78;7.32;4.81;5.94;2.49;7.6;4.51
27.06.19;7.46;2.03;5.77;2.94;7.05;0.35;6.1;2.76;5.6;3.25;5.27;3.47;5.7;2.31
04.07.19;7.6;1.9;5.84;2.28;7.32;0.49;5.65;2.81;7.58;3.2;5.83;2.3;7.45;2.82
11.07.19;7.77;2.05;5.79;2.39;7.71;0.45;6.76;2.92;8.25;3.75;6.6;2.6;7.77;3.47
18.07.19;7.63;1.6;5.68;2.35;7.43;0.63;6.41;2.13;7.46;4.45;7.32;4.76;7.73;3.8
24.07.19;7.94;2.02;5.63;2.03;7.46;0.43;6.35;2.16;7.64;4.72;8.36;5.03;7.61;4.23
31.07.19;8.78;2.39;7.28;2.1;7.93;0.53;7.27;4.64;8.05;5.89;7.5;3.79;7.76;4.63
22.08.19;7.38;1.36;5.89;3.09;7.88;0.52;6.11;2.95;7.76;2.14;7.19;5.04;7.63;1.9
30.08.19;8.8;1.19;8.75;1.49;8.42;0.72;6.12;1.78;8.43;4.46;5.58;2.65;8.38;3.93
05.09.19;8.83;1.91;8.89;1.06;8.87;0.62;7.79;2.54;8.85;4.13;6.95;3.15;8.95;2.45
02.10.19;9.37;1.82;7.91;0.93;8.12;0.95;6.17;2.6;7.67;4.9;8.34;4.9;8.57;4.71
10.10.19;9.77;2.47;9.07;1.72;7.62;0.62;4.98;2.22;5.22;2.37;6.37;3.19;7.09;4.8
17.10.19;8.07;0.87;7.99;1.5;7.72;0.92;4.67;1.47;5.58;2.84;6.37;2.19;7.23;2.34
24.10.19;9.07;1.28;8.43;1.27;7.5;0.34;4.98;2.2;6.7;3.09;7.78;1.58;8.16;3.05
30.10.19;9.6;1.56;9.33;1.04;8.88;0.79;7.43;2.07;6.13;2.64;8.18;1.92;8.37;3.51
07.11.19;9.72;1.52;9.33;1.3;8.48;0.75;6.84;3.32;6.29;2.82;8.67;1.5;9.07;3.6
12.11.19;9.65;1.95;10.12;2.56;9.73;1.66;6.16;2.95;7.56;4.26;8.27;1.64;8.99;4.06
19.11.19;10.45;2.19;9.8;1.58;9.18;1.12;6.11;1.85;8.97;5.6;9.47;2.44;9.99;6.29
27.11.19;10.03;2.58;8.12;2.03;8.93;0.93;8.34;2.22;7.97;4.67;7.4;3.1;9.46;4.32
05.12.19;6.87;0.67;9.3;1.62;9.46;0.65;8.27;2.01;6.75;4.14;5.07;1.24;10.29;4.14
11.12.19;8.49;1.41;9.87;2.15;9.56;0.71;7.66;3.37;10.7;8.06;5.77;1.77;8.93;4.31
18.12.19;10.74;2.54;8.6;2.15;10.44;0.52;6.12;2.61;8.92;5.56;5.99;3.07;9.43;3.53
25.12.19;8.35;0.89;9.96;2.71;9.6;0.74;8.4;2.54;10.22;1.93;6.2;1.35;10.1;3.66
;;;;;;;;;;;;;;
Концентрация кислорода (мг/л) в водоемах-объектах мониторинга в 2015г.;;;;;;инга в 2020г;;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;оз.Круглое;БПК-5;оз.Моховское;БПК-5;оз.Калачик;БПК-5
09.01.20;8.63;2.09;8.52;2.9;11.7;0.57;6.68;3.59;5.22;2.48;5.19;1.34;6.58;3.23
15.01.20;9.68;2.28;7.77;2.61;10.7;0.6;5.57;2.57;7.3;3.46;9.58;4.48;9.35;5.51
22.01.20;9.18;1.82;7.95;2.53;9.04;0.52;6.29;3.25;8.33;5.68;9.9;2.85;9.47;3.87
30.01.20;9.68;1.36;5.19;1.37;;отр.;9.07;2.99;8.29;3.75;8.08;2.61;5.68;2.77
05.02.20;8.23;2;7.84;3.36;9.98;0.6;7.23;3.99;10.38;5.59;6.82;3.47;5.07;1.78
12.02.20;8.3;1.86;9.2;3.68;10.38;0.83;8.15;3.08;6.76;3.79;7.92;3.02;7.9;3.2
19.02.20;6.98;2.86;7.5;3.6;9.53;1.63;5.8;3.52;5.4;1.6;5.91;3.15;5.63;3.33
27.02.20;5.3;1.38;7.07;3.62;8.6;1.15;6.49;3.26;5.15;2.67;5.77;3.49;4.55;2.37
05.03.20;6.95;2.03;5.29;2.24;8.89;1.89;5.06;3.36;6.89;4.09;5.16;2.96;6.05;3.39
11.03.20;7.4;2.83;6.03;3.37;8.25;1.59;6.45;3.38;7.85;4.9;5.3;2.22;6.95;4.15
30.03.20;8.85;3.18;9.36;2.48;7.72;1.5;9.17;1.77;8.25;5.31;9.3;3.64;9.4;3.47
08.04.20;9.72;1.8;9.92;2.55;8.03;0.53;6.5;2.17;4.9;2.14;4.67;2;7.76;2.67
15.04.20;9.7;2.79;9.33;0.93;8.09;0.82;5.77;1.27;6.72;3.85;8.36;5.06;7.36;4.01
23.04.20;9.64;4.12;9.37;1.1;8.38;1.02;9.2;5.73;7.88;5.21;8.35;6.18;8.03;5.71
07.05.20;8.67;2.97;8.36;1.3;8.48;0.72;8.7;5.18;8.49;5.37;8.14;4.37;8.24;4.58
13.05.20;8.38;2.97;7.61;2.12;7.55;0.57;8.31;5.36;7.55;4.92;6.73;3.9;6.83;3.53
19.05.20;9.73;3.97;8.44;1.52;8.79;1.46;9.7;6.7;8.9;4.17;8.17;4.34;9.78;5.2
28.05.20;8.4;3.05;8.3;1.36;8.58;0.88;8.55;4.6;7.59;4.21;7.35;3.03;8.3;3.47
03.06.20;7.97;2.95;7.88;1.6;8.1;0.92;7.4;4.53;6.47;3.94;7.34;3.72;7.33;3.73
10.06.20;7.59;3.69;7.73;2.51;7.9;0.71;7.62;4.79;6.98;3.23;6.64;4.11;6.69;2.99
18.06.20;7.28;3.65;7.59;2.19;7.23;0.59;6.8;4.18;6.21;3.34;7.03;4.13;7.71;4.87
25.06.20;8.05;4.51;7.57;2.13;7.83;0.72;8.19;6.11;7.58;5.41;6.12;2.75;8.54;6
03.07.20;8.01;3.82;7.51;3.6;7.62;0.54;6.62;4.16;7.17;5.37;6.98;4;8.71;5.87
08.07.20;7.13;3.88;6.08;2.75;7.05;0.7;4.66;2.81;6.26;4.56;5.39;3.13;7.39;4.56
17.07.20;6.67;2.98;7.25;4.53;7.56;0.54;;;6.52;4;2.5;0.65;5.1;3.4
06.08.20;7.29;3.74;7.47;4.36;7.42;0.72;9.39;6.82;7.23;4.5;6.63;3.97;8.07;5.48
13.08.20;7.44;2.67;6.47;2.15;7.34;0.36;7.5;5.09;7.48;4.1;4.77;2.06;7.83;4.31
20.08.20;8.8;2.77;8.13;2.82;8.4;0.74;8.22;4.05;7.8;3.73;6.12;3.08;8.55;3.68
26.08.20;8.22;2.75;7.35;2.81;7.88;0.87;6.53;4.23;8.09;5.19;7.24;4.27;9.08;6.58
09.09.20;8.25;1.57;6.88;2.29;7.62;0.62;5.53;3.52;7.65;4.46;7.64;4;7.56;4.23
01.10.20;10.2;1.86;6.65;2.9;7.72;0.69;6.02;2.85;7.67;2.81;7.16;3.89;7.13;3.46
08.10.20;10.2;2.39;8.57;2.67;8.26;0.8;4.92;2.95;7.84;3.84;8.48;4.52;7.18;4.13
15.10.20;9.74;2.55;7.72;2.64;8.2;0.8;5.74;2.43;6.34;3.74;8.7;4.11;7.06;4.99
22.10.20;10.5;3.16;8.63;3.1;8;0.65;5.32;2.72;6.71;3;7.9;4;7.67;4.76
28.10.20;10.18;3.33;10.06;2.72;8.78;0.72;7.35;4.56;3.9;1.46;9.53;5.66;7.05;4.33
05.11.20;10;2.88;9.88;2.59;8.14;0.58;6.78;2.86;6.74;3.94;8.6;4.18;7.1;4.78
12.11.20;9.98;2.3;9.47;1.57;7.81;0.43;4.67;2.22;5.83;3.05;8.68;3.7;6.89;2.88
19.11.20;11.52;2.99;10.95;2.54;8.93;0.65;7.8;1.92;8.5;5.25;8.2;5.23;10.3;5.54
26.11.20;9.12;2.62;8.95;2.5;8.76;0.66;6.2;1.9;6.65;3.9;4.67;2.38;8.18;5.66
03.12.20;10.1;3.85;8.71;2.74;8.9;0.65;7.05;1.25;5.9;3;9.11;4.64;10.28;7.81
10.12.20;8.07;2.31;4.57;2.27;8.82;0.58;7.7;1.32;5.67;3.16;4.13;1.7;4.03;2.23
15.12.20;7.7;2.03;5.53;3.67;8.83;0.36;7.92;2.91;;;5.51;2.54;8.4;5.66
;;;;;;;;;;;;;;
Концентрация кислорода (мг/л) в водоемах-объектах мониторинга в 2015г.;;;;;;инга в 2020г;021г.;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;оз.Круглое;БПК-5;оз.Маховское;БПК-5;оз.Калачик;БПК-5
14.01.21;8.64;2.1;7.11;2.47;9.64;0.42;3.97;2.02;7.49;2.52;3.95;1.91;5.12;2.87
26.01.21;6.4;1.85;6.2;3.92;10.32;1.14;10.1;5.22;7.96;3.3;9.87;4.78;8.68;5.04
03.02.21;6.05;1.14;8.78;5.62;9.73;0.88;9.06;1.66;9.93;5.06;5.16;2.51;9.71;4.79
17.02.21;7.21;1.21;4.92;2.27;8.99;0.54;6.77;1.7;4.63;2.27;3.88;1.5;8.85;5.6
02.03.21;6.88;1.9;6.2;2.2;9.44;0.87;7.99;3.17;;;;;8.62;6.36
17.03.21;6.26;1.01;6.9;3.15;7.87;0.4;5.59;2.3;5.11;2.75;4.75;1.65;7.9;5.75
31.03.21;7.75;2.47;2.3;0.7;8.19;0.54;;;8.1;3.4;;;;
09.04.21;8.22;2.64;8.99;4.71;9.24;1.81;8.71;3.38;9.38;3.36;7.56;4.22;9.96;4.2
22.04.21;8.36;2.81;9.12;2.93;7.9;0.66;8.8;3;4.7;-0.1;8.97;2.77;9.53;5.73
28.04.21;8.86;5.19;9.12;3.45;8.83;1.16;9.02;3.68;7.75;3.03;9.48;3.43;8.97;5.11
14.05.21;7.89;3.18;8.24;2.68;8.3;1;7.52;4.61;6.98;3.06;6.2;2.92;;
19.05.21;7.34;3.88;7.06;3.18;7.77;0.48;6.05;2.93;4.9;1.95;5.48;3.02;7.01;3.7
08.06.21;7.9;3.8;7.77;5.29;7.73;1.18;7.74;4.81;7.19;3.76;5.83;2.94;7.33;5.09
17.06.21;7.15;1.93;7.3;2.01;7.66;0.77;6.65;2.44;7.22;3.25;5.35;2.62;6.09;3.47
24.06.21;6.83;1.93;5.48;1.86;7.04;0.93;5.6;2.7;6.52;2.67;6.13;2.46;6.99;4.28
01.07.21;7.05;2.21;6.32;3.17;7.72;0.77;5.53;3;6.55;2.93;5.7;3.1;7.36;4.31
08.07.21;6.89;1.61;6.48;1.44;6.73;0.66;5.75;2.72;6.04;3.5;4.34;1.45;6.63;3.74
21.07.21;6.77;1.78;6.31;2.21;7.46;0.57;6.36;2.56;6.56;3.86;4.82;2.8;6.36;4.36
27.07.21;7.84;1.44;6.44;3.24;7.67;0.77;7.82;3.06;7.85;5.4;8.84;5.48;;
06.08.21;7.57;1.78;7.28;1.61;7.4;0.4;7.34;2.05;6.3;-0.57;6.91;4.01;5.35;2.74
12.08.21;7.65;1.3;4.13;1.88;7.34;0.4;7.15;2.87;7.37;5.28;5.21;2.68;7.09;3.06
17.08.21;7.33;0.81;4.83;1.73;7.59;0.62;6.88;1.63;7.52;3.41;6.93;4.31;7.77;5.02
26.08.21;8.97;1.43;8.14;3.11;8.63;1.03;9.12;1.63;8.98;5.66;7.53;4.96;;
31.08.21;8.34;0.74;7.28;1.24;7.34;0.04;6.87;1.07;7.87;4.14;6.68;3.35;8.02;4.01
30.09.21;9.06;1.26;5.73;2.24;8.2;0.78;5.01;1.92;7.83;2.9;7.18;3.81;8.52;3.58
07.10.21;8.98;0.8;7.3;3.06;8.54;0.89;6.16;3.17;5.27;2.76;6.17;2.3;8.87;4.27
27.10.21;10.05;2.67;6.38;3;9.24;0.74;6.77;2.05;7.08;3.83;6.65;2.25;9.81;5.57
25.11.21;9.82;2.14;9.22;2.12;8.91;1.06;7.48;2.05;7.34;4.08;6.32;3.29;8.95;4.65
01.12.21;9.36;0.96;9.08;2.8;9.4;отр.;6.87;0.97;7.97;3.22;7.7;1.05;;
09.12.21;10.86;2.53;8.4;1;9.59;0.95;10.06;1.18;6.67;4.38;4.92;2.93;9.6;4.31
15.12.21;7.94;1.04;7;1.32;8.47;0.8;6;1.63;6.51;3.63;4.31;2.29;;
29.12.21;7.94;1.84;8.04;4.69;9.55;0.75;7.94;2.33;6.54;3.36;6.5;2.93;5.73;3.75
;;;;;;;;;;;;;;
Концентрация кислорода (мг/л) в водоемах-объектах мониторинга в 2015г.;;;;;;инга в 2020г;022г.;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;оз.Круглое;БПК-5;оз.Маховское;БПК-5;оз.Калачик;БПК-5
13.01.22;5.13;0.36;8.62;1.9;9.6;0.76;8.4;2.73;6.45;4.03;9.92;4.18;;
25.01.22;8.39;1.43;6.3;2.46;9.4;1.04;6.16;2.98;5.83;3.93;4.27;2.03;6.93;4.45
03.02.22;7.32;0.6;7.63;2.01;9.32;55;7.84;3.88;6.71;4.32;;;;
17.02.22;6.57;0.42;7.93;0.1;9.87;отр.;7.98;2.45;5.22;1.77;6.19;1.92;6.83;3.84
25.02.22;9.34;2.88;8.38;1.35;9.85;1.45;8.72;1.61;5.95;2.79;7.6;0.11;;
02.03.22;6.78;1.28;7.48;1.7;8.86;1.18;3.99;2.03;3.46;0.12;4.3;1.42;7.32;4.33
11.03.22;7.86;1.04;9.3;2.25;8.74;0.82;8.16;1.83;3.79;2.09;2.84;0.79;6.56;4.76
23.03.22;5.91;1.89;8.3;3.42;8.62;0.78;7.9;4.28;6.56;4.16;5.52;2.75;7.84;1.09
29.03.22;7.29;1.49;6.1;1.35;7.53;0.96;6.13;3.63;3.14;1.41;8.08;3.41;;
08.04.22;7.47;0.47;6.93;1.16;8.38;отр.;8.61;2.18;7.65;2.95;6.3;1.36;6.71;3.54
15.04.22;9.87;1.87;11.02;2.89;9;0.58;10.96;3.55;7.72;4.35;9.62;1.67;8.69;4.03
22.04.22;8.82;2.04;9.66;0.6;9.06;0.33;9.18;2.08;6.47;2.47;9.68;1.1;9.45;1.86
27.04.22;7.32;1.12;9.25;4.58;9.5;2.14;7.76;2.87;8.13;2.85;7.11;2.61;9.03;3.3
06.05.22;8.36;3.2;7.84;2.5;;;8.06;3.46;8.45;3.37;7.98;3.43;8.25;3.7
13.05.22;8.32;3.26;8.4;0.73;7.99;0.82;8.54;5.48;7.79;2.64;7.95;2.9;8.4;3.92
19.05.22;8.64;2.55;7.52;3.76;7.83;0.38;9.06;5.19;7.6;2.44;6.83;2.3;;
25.05.22;8.99;3.42;8.86;3.24;7.51;0.39;9.38;5.38;7.8;3.52;7.43;3.36;8.62;3.92
02.06.22;8.56;3.72;7.6;2.56;7.29;0.48;9.54;6.18;7.6;4.35;7.76;3.57;8.33;4.96
09.06.22;7.58;2.42;7.51;3.22;7.83;0.58;6.77;4.17;6.33;3.35;5.9;3.45;;
16.06.22;7.4;2.47;6.47;3.83;7.57;1.12;6.8;4.27;5.68;3;5.8;3.16;7.4;3.26
24.06.22;7.96;3.13;7.26;4.77;7.47;1.13;7.5;4.66;6.27;3.75;5.82;3;;
07.07.22;7.43;2.87;4.85;2.51;7.44;1.03;6.26;4.22;6.75;4.18;7.07;4.62;;
13.07.22;6.48;1.3;5.46;2.06;7.5;1.03;5.29;1.33;6.45;1.9;5.71;1.91;6.81;3.01
27.07.22;7.13;2.83;6.4;3.53;8;1.64;6.9;3.17;7.48;4.35;5.33;2.95;7.48;4.55
05.08.22;7.32;1.02;6.27;1.08;7.38;0.1;7.32;4.5;7.16;4.56;5.69;2.93;6.39;2.17
12.08.22;7.86;0.76;5.94;1.9;8.59;0.69;6.47;1.37;6.43;4.1;3.75;1.75;4.35;2.65
19.08.22;7.22;1.05;7.65;2.5;7.45;0.41;7.16;2.99;7.56;2.26;4.97;2.51;6.82;3.92
26.08.22;7.12;2.44;5.77;3.87;7.18;0.28;7.21;2.12;6.05;1.94;5.45;1.65;;
01.09.22;6.88;0.73;6.87;2.27;7.7;0.28;6.45;1.72;6.03;2.43;2.71;1.01;6.71;2.09
07.10.22;6.82;0.87;6.02;1.27;7.54;0.28;2.87;1.17;6.9;2.91;6.7;1.81;6.82;2.5
26.10.22;9.73;1.42;9.07;2.3;8.65;0.3;4.55;1.35;4.35;2.3;6.32;1.12;7.56;2.21
02.11.22;10.65;1.85;9.92;2.4;9.43;0.66;9.12;2.23;5.17;1.84;8.06;2.86;;
09.11.22;9.3;1.26;9.07;1.61;8.25;0.77;3.98;1.72;7.54;2.14;;;8.41;2.61
16.11.22;10.43;1.24;9.2;1.2;8.82;0.6;6.86;1.36;8.47;1.77;8.36;1.86;;
28.11.22;10.55;1.91;10.24;1.86;9.54;0.68;9.15;1.25;8.74;2.38;7.8;3.58;9.53;2.43
05.12.22;6.63;1.1;8.93;1.72;10.06;0.86;7.1;2.21;7.85;3.26;5.36;3.11;8.9;4.27
21.12.22;7.76;1.08;9.68;1.46;9.42;0.62;6.65;1.29;7.86;4.96;;;;
